Crop,Employee ID,Status,Inquiry Type,Inquiry Topic,Product Segment,Date,# of Inquiry,# of Inquirer,Resolution Time (min),Assigned Team,Source,Gender,State,Township
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/10/2023,1,1,19,Contact Center Team,Messenger,Male,Shan (South),Dedaye
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/10/2023,1,1,23.33,Contact Center Team,Messenger,Male,Shan (South),Dedaye
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/10/2023,1,1,25.33,Contact Center Team,Messenger,Female,Shan (South),Mohnyin
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/10/2023,1,1,17,Contact Center Team,Messenger,Female,Shan (South),Mohnyin
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/10/2023,1,1,19.67,Contact Center Team,Messenger,Male,Shan (South),Dedaye
Green gram,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/10/2023,1,1,10.67,Contact Center Team,Messenger,Male,Shan (South),Dedaye
Chili,50574,Solved,Farming Practices,General Preventions,Farming Information,3/10/2023,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Mohnyin
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,3/10/2023,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Mohnyin
Green gram,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/10/2023,1,1,19.67,Contact Center Team,Messenger,Male,Shan (South),Dedaye
Green gram,50574,Solved,Farming Practices,General Preventions,Farming Information,3/10/2023,1,1,27,Contact Center Team,Messenger,Female,Shan (South),Mohnyin
Tomato,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/10/2023,1,1,12,Contact Center Team,Messenger,Male,Shan (South),Dedaye
Groundnut,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/10/2023,1,1,16.33,Contact Center Team,Messenger,Male,Shan (South),Dedaye
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/10/2023,1,1,20,Contact Center Team,Messenger,Male,Shan (South),Dedaye
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/10/2023,1,1,19.67,Contact Center Team,Messenger,Female,Shan (South),Mohnyin
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/13/2023,1,1,10,Contact Center Team,Messenger,Female,Shan (South),Myaungmya
Groundnut,50574,Solved,Farming Practices,General Preventions,Farming Information,3/13/2023,1,1,26.33,Contact Center Team,Messenger,Female,Shan (South),Oktwin
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/13/2023,1,1,15.67,Contact Center Team,Messenger,Female,Shan (South),Oktwin
Sesame,50574,Solved,Farming Practices,General Preventions,Farming Information,3/13/2023,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Oktwin
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/13/2023,1,1,28,Contact Center Team,Messenger,Female,Shan (South),Myaungmya
Non Service Crops,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/13/2023,1,1,28,Contact Center Team,Messenger,Female,Shan (South),Myaungmya
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,3/13/2023,1,1,28,Contact Center Team,Messenger,Female,Shan (South),Oktwin
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/13/2023,1,1,28,Contact Center Team,Messenger,Female,Shan (South),Oktwin
Green gram,50574,Solved,Farming Practices,General Preventions,Farming Information,3/13/2023,1,1,16,Contact Center Team,Messenger,Female,Shan (South),Oktwin
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/13/2023,1,1,26,Contact Center Team,Messenger,Female,Shan (South),Oktwin
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/13/2023,1,1,31,Contact Center Team,Messenger,Female,Shan (South),Myaungmya
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/13/2023,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Myaungmya
Non Service Crops,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/13/2023,1,1,40,Contact Center Team,Messenger,Female,Shan (South),Myaungmya
Non Service Crops,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/13/2023,1,1,25.33,Contact Center Team,Messenger,Female,Shan (South),Myaungmya
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/15/2023,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Thongwa
Sesame,50574,Solved,Farming Practices,General Preventions,Farming Information,3/15/2023,1,1,20.67,Contact Center Team,Messenger,Female,Shan (South),Thongwa
Sesame,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/15/2023,1,1,33,Contact Center Team,Messenger,Female,Shan (South),Wundwin
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,3/15/2023,1,1,26.33,Contact Center Team,Messenger,Female,Shan (South),Thongwa
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/15/2023,1,1,38,Contact Center Team,Messenger,Female,Shan (South),Wundwin
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/15/2023,1,1,17.67,Contact Center Team,Messenger,Female,Shan (South),Wundwin
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/15/2023,1,1,12,Contact Center Team,Messenger,Female,Shan (South),Wundwin
Chili,50574,Solved,Farming Practices,General Preventions,Farming Information,3/15/2023,1,1,23.33,Contact Center Team,Messenger,Female,Shan (South),Thongwa
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/15/2023,1,1,24.67,Contact Center Team,Messenger,Female,Shan (South),Wundwin
Chili,50574,Solved,Farming Practices,General Preventions,Farming Information,3/15/2023,1,1,20.33,Contact Center Team,Messenger,Female,Shan (South),Thongwa
Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/15/2023,1,1,19.33,Contact Center Team,Messenger,Female,Shan (South),Thongwa
Non Service Crops,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/15/2023,1,1,18,Contact Center Team,Messenger,Female,Shan (South),Wundwin
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/15/2023,1,1,26.33,Contact Center Team,Messenger,Female,Shan (South),Wundwin
Groundnut,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/15/2023,1,1,50,Contact Center Team,Messenger,Female,Shan (South),Wundwin
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/15/2023,1,1,48,Contact Center Team,Messenger,Female,Shan (South),Wundwin
Groundnut,50574,Solved,Farming Practices,General Preventions,Farming Information,3/15/2023,1,1,6,Contact Center Team,Messenger,Female,Shan (South),Thongwa
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/17/2023,1,1,3,Contact Center Team,Messenger,Female,Shan (South),Maubin
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/17/2023,1,1,19.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Chili,50574,Solved,Farming Practices,General Preventions,Farming Information,3/17/2023,1,1,23,Contact Center Team,Messenger,Female,Shan (South),Pyinmana
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,3/17/2023,1,1,29,Contact Center Team,Messenger,Female,Shan (South),Pyinmana
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/17/2023,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Maubin
Potato,50574,Solved,Farming Practices,General Preventions,Farming Information,3/21/2023,1,1,37.33,Contact Center Team,Messenger,Female,Shan (South),Pathein
Sesame,50574,Solved,Farming Practices,General Preventions,Farming Information,3/21/2023,1,1,18,Contact Center Team,Messenger,Female,Shan (South),Pathein
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/21/2023,1,1,25.33,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Onion,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/21/2023,1,1,18.33,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/21/2023,1,1,19.67,Contact Center Team,Messenger,Female,Shan (South),Pathein
Non Service Crops,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/21/2023,1,1,27,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/21/2023,1,1,25,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/21/2023,1,1,41.67,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/21/2023,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Pathein
Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/21/2023,1,1,18.67,Contact Center Team,Messenger,Female,Shan (South),Pathein
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/21/2023,1,1,20,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/22/2023,1,1,28,Contact Center Team,Messenger,Female,Shan (South),Thabaung
Non Service Crops,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/22/2023,1,1,22.67,Contact Center Team,Messenger,Female,Shan (South),Thabaung
Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/22/2023,1,1,24.67,Contact Center Team,Messenger,Female,Shan (South),Ngazun
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/22/2023,1,1,6,Contact Center Team,Messenger,Female,Shan (South),Thabaung
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/22/2023,1,1,2,Contact Center Team,Messenger,Female,Shan (South),Ngazun
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/22/2023,1,1,17.67,Contact Center Team,Messenger,Female,Shan (South),Thabaung
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,3/22/2023,1,1,1,Contact Center Team,Messenger,Female,Shan (South),Ngazun
Chili,50574,Solved,Farming Practices,General Preventions,Farming Information,3/22/2023,1,1,23.67,Contact Center Team,Messenger,Female,Shan (South),Ngazun
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/24/2023,1,1,15.67,Contact Center Team,Messenger,Female,Shan (South),Taungtha
Black gram,50574,Solved,Farming Practices,General Preventions,Farming Information,3/24/2023,1,1,22.67,Contact Center Team,Messenger,Female,Shan (South),Taungtha
Groundnut,50574,Solved,Farming Practices,General Preventions,Farming Information,3/24/2023,1,1,13,Contact Center Team,Messenger,Female,Shan (South),Taungtha
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,3/24/2023,1,1,25.67,Contact Center Team,Messenger,Female,Shan (South),Taungtha
Non Service Crops,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/24/2023,1,1,11.33,Contact Center Team,Messenger,Female,Shan (South),Wakema
Chili,50574,Solved,Farming Practices,General Preventions,Farming Information,3/30/2023,1,1,19,Contact Center Team,Messenger,Female,Shan (South),Minhla
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/31/2023,1,1,16,Contact Center Team,Messenger,Female,Shan (South),Myittha
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/31/2023,1,1,23,Contact Center Team,Messenger,Female,Shan (South),Kangyidaunt
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/31/2023,1,1,16,Contact Center Team,Messenger,Female,Shan (South),Kangyidaunt
Sesame,50574,Solved,Farming Practices,General Preventions,Farming Information,3/31/2023,1,1,1,Contact Center Team,Messenger,Female,Shan (South),Myittha
Chili,50574,Solved,Farming Practices,General Preventions,Farming Information,3/31/2023,1,1,16.67,Contact Center Team,Messenger,Female,Shan (South),Myittha
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/31/2023,1,1,33,Contact Center Team,Messenger,Female,Shan (South),Kangyidaunt
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/31/2023,1,1,36,Contact Center Team,Messenger,Female,Shan (South),Myittha
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/31/2023,1,1,8.33,Contact Center Team,Messenger,Female,Shan (South),Myittha
Chili,50574,Solved,Farming Practices,General Preventions,Farming Information,3/31/2023,1,1,11.33,Contact Center Team,Messenger,Female,Shan (South),Myittha
Non Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,3/31/2023,1,1,15,Contact Center Team,Messenger,Female,Shan (South),Myittha
Green gram,50574,Solved,Farming Practices,General Preventions,Farming Information,3/31/2023,1,1,20.5,Contact Center Team,Messenger,Female,Shan (South),Myittha
Green gram,50574,Solved,Farming Practices,General Preventions,Farming Information,3/31/2023,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Myittha
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/31/2023,1,1,25.67,Contact Center Team,Messenger,Female,Shan (South),Kangyidaunt
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,3/31/2023,1,1,19.33,Contact Center Team,Messenger,Female,Shan (South),Kangyidaunt
Chili,50574,Solved,Farming Practices,General Preventions,Farming Information,3/31/2023,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Myittha
Tomato,50574,Solved,Farming Practices,General Preventions,Farming Information,4/4/2023,1,1,34,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,4/4/2023,1,1,17.33,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Chili,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,4/4/2023,1,1,14,Contact Center Team,Messenger,Female,Shan (South),Letpadan
Black gram,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,4/4/2023,1,1,16.67,Contact Center Team,Messenger,Female,Shan (South),Letpadan
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,4/4/2023,1,1,20.67,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,4/4/2023,1,1,9.33,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Rice,50574,Solved,Crop Protection,P&D diagnosis request,Farming Information,4/4/2023,1,1,14,Contact Center Team,Messenger,Female,Shan (South),Letpadan
Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,4/4/2023,1,1,16.33,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,4/4/2023,1,1,38.67,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,4/5/2023,1,1,27.67,Contact Center Team,Messenger,Male,Shan (South),Kyaiklat
Chili,50574,Solved,Farming Practices,General Preventions,Farming Information,4/5/2023,1,1,9.33,Contact Center Team,Messenger,Male,Shan (South),Kyaiklat
Green gram,50574,Solved,Farming Practices,General Preventions,Farming Information,4/5/2023,1,1,20,Contact Center Team,Messenger,Male,Shan (South),Kyaiklat
Rice,50574,Solved,Farming Practices,General Preventions,Farming Information,4/5/2023,1,1,15,Contact Center Team,Messenger,Male,Shan (South),Kyaiklat
Service Crops,50574,Solved,Farming Practices,General Preventions,Farming Information,4/5/2023,1,1,20,Contact Center Team,Messenger,Male,Shan (South),Kyaiklat
Non Service Crops,50584,Unsolved,Farming Practices,General Preventions,Farming Information,7/22/2022,1,1,29.67,Contact Center Team,Messenger,Female,Shan (South),Natogyi
Green gram,50584,Solved,Farming Practices,General Preventions,Farming Information,8/5/2022,1,1,30,Contact Center Team,Messenger,Female,Shan (South),Pathein
Groundnut,50584,Solved,Farming Practices,General Preventions,Farming Information,8/23/2022,1,1,31.67,Contact Center Team,Messenger,Female,Shan (South),Aunglan
Groundnut,50584,Solved,Farming Practices,General Preventions,Farming Information,8/23/2022,1,1,32.33,Contact Center Team,Messenger,Female,Shan (South),Aunglan
Green gram,50584,Solved,Farming Practices,General Preventions,Farming Information,8/23/2022,1,1,12,Contact Center Team,Messenger,Female,Shan (South),Aunglan
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/23/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Aunglan
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/23/2022,1,1,34.33,Contact Center Team,Messenger,Female,Shan (South),Aunglan
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/23/2022,1,1,29,Contact Center Team,Messenger,Female,Shan (South),Bogale
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/24/2022,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/24/2022,1,1,14.33,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/24/2022,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/24/2022,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Meiktila
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/29/2022,1,1,23.67,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/29/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/29/2022,1,1,26,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/29/2022,1,1,10.33,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/29/2022,1,1,17.33,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Rice,50584,Solved,Farming Practices,General Preventions,Farming Information,8/29/2022,1,1,41,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/29/2022,1,1,25.67,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/29/2022,1,1,13.67,Contact Center Team,Messenger,Female,Shan (South),Danubyu
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/29/2022,1,1,11.33,Contact Center Team,Messenger,Female,Shan (South),Taungoo
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/30/2022,1,1,31,Contact Center Team,Messenger,Female,Shan (South),Gangaw
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/30/2022,1,1,6,Contact Center Team,Messenger,Female,Shan (South),Gangaw
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,32,Contact Center Team,Messenger,Female,Shan (South),Bago
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/30/2022,1,1,18.33,Contact Center Team,Messenger,Female,Shan (South),Gangaw
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/30/2022,1,1,13.67,Contact Center Team,Messenger,Female,Shan (South),Gangaw
Groundnut,50584,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,26.33,Contact Center Team,Messenger,Female,Shan (South),Bago
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,29.67,Contact Center Team,Messenger,Female,Shan (South),Bago
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,19,Contact Center Team,Messenger,Female,Shan (South),Bago
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,6,Contact Center Team,Messenger,Female,Shan (South),Bago
Tomato,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/30/2022,1,1,32.33,Contact Center Team,Messenger,Female,Shan (South),Gangaw
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,12.67,Contact Center Team,Messenger,Female,Shan (South),Bago
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,13,Contact Center Team,Messenger,Female,Shan (South),Bago
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,26.33,Contact Center Team,Messenger,Female,Shan (South),Bago
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,24.67,Contact Center Team,Messenger,Female,Shan (South),Bago
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/30/2022,1,1,3.5,Contact Center Team,Messenger,Female,Shan (South),Bago
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/31/2022,1,1,20,Contact Center Team,Messenger,Female,Shan (South),Hpa-An
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/31/2022,1,1,18.33,Contact Center Team,Messenger,Female,Shan (South),Hpa-An
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/31/2022,1,1,26.33,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Groundnut,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/31/2022,1,1,16.33,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/31/2022,1,1,12,Contact Center Team,Messenger,Female,Shan (South),Hpa-An
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/31/2022,1,1,11.67,Contact Center Team,Messenger,Female,Shan (South),Hpa-An
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/31/2022,1,1,30,Contact Center Team,Messenger,Female,Shan (South),Hpa-An
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/31/2022,1,1,12,Contact Center Team,Messenger,Female,Shan (South),Hpa-An
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/31/2022,1,1,20.33,Contact Center Team,Messenger,Female,Shan (South),Hpa-An
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/31/2022,1,1,11.33,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/31/2022,1,1,17.67,Contact Center Team,Messenger,Female,Shan (South),Hpa-An
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/31/2022,1,1,27,Contact Center Team,Messenger,Female,Shan (South),Hpa-An
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,8/31/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Hpa-An
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/1/2022,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Aung Lan
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/1/2022,1,1,28.67,Contact Center Team,Messenger,Female,Shan (South),Aung Lan
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/1/2022,1,1,36,Contact Center Team,Messenger,Female,Shan (South),Aung Lan
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/1/2022,1,1,20.67,Contact Center Team,Messenger,Self-Unidentified,Shan (South),
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/1/2022,1,1,22.33,Contact Center Team,Messenger,Self-Unidentified,Shan (South),
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/1/2022,1,1,8,Contact Center Team,Messenger,Self-Unidentified,Shan (South),
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/1/2022,1,1,9.33,Contact Center Team,Messenger,Female,Shan (South),Aung Lan
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/1/2022,1,1,24.67,Contact Center Team,Messenger,Self-Unidentified,Shan (South),
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/1/2022,1,1,27.33,Contact Center Team,Messenger,Female,Shan (South),Aung Lan
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/1/2022,1,1,13,Contact Center Team,Messenger,Female,Shan (South),Aung Lan
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/1/2022,1,1,21.67,Contact Center Team,Messenger,Female,Shan (South),Aung Lan
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/1/2022,1,1,7,Contact Center Team,Messenger,Female,Shan (South),Aung Lan
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/2/2022,1,1,16.33,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/2/2022,1,1,34,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/2/2022,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Chili,50584,Solved,Farming Practices,General Preventions,Farming Information,9/2/2022,1,1,53,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/2/2022,1,1,15.67,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Sesame,50584,Solved,Farming Practices,General Preventions,Farming Information,9/2/2022,1,1,25.33,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Groundnut,50584,Solved,Farming Practices,General Preventions,Farming Information,9/2/2022,1,1,20,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Chili,50584,Solved,Farming Practices,General Preventions,Farming Information,9/2/2022,1,1,22.33,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/2/2022,1,1,7.33,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/2/2022,1,1,27.33,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/2/2022,1,1,9,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/5/2022,1,1,11.33,Contact Center Team,Messenger,Female,Shan (South),Kyaukkyi
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/5/2022,1,1,26.67,Contact Center Team,Messenger,Female,Shan (South),Kyaukkyi
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/5/2022,1,1,9.33,Contact Center Team,Messenger,Female,Shan (South),Kyaukkyi
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/5/2022,1,1,16.67,Contact Center Team,Messenger,Female,Shan (South),Kyaukkyi
Chili,50584,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,33.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,10,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,19,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,57,Contact Center Team,Messenger,Female,Shan (South),Myanaung
