Date,Self-Unidentified,State,Township,Crop,Inquiry Type,Inquiry Topic,Source,Product Segment,First Handler Status,Assigned Team,# of Inquirer,# of Inquiry
2/9/2022,Male,Kachin,Myitkyina,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Kayin,Hlaingbwe,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Kayin,Hpa-An,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/10/2021,Male,Yangon,Kyauktan,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
2/9/2022,Male,Magway,Minbu,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Magway,Myothit,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Magway,Pwintbyu,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/9/2022,Male,Magway,Salin,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Magway,Seikphyu,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Magway,Yesagyo,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Mandalay,Kyaukse,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Mandalay,Mahlaing,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Mandalay,Meiktila,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Mandalay,Myittha,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Mandalay,Sintgaing,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Mon,Mudon,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Nay Pyi Taw,Lewe,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Nay Pyi Taw,Poke Ba Thi Ri,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Sagaing,Homalin,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Sagaing,Shwebo,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Sagaing,Shwebo,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/13/2021,Male,Mandalay,Pyawbwe,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
2/9/2022,Male,Sagaing,Wetlet,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Sagaing,Ye-U,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Shan (North),Hopang,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Shan (South),Nyaungshwe,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Tanintharyi,,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/9/2022,Male,Yangon,Kayan,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Female,Bago (East),Kyaukkyi,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Female,Bago (East),Kyauktaga,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Female,Mandalay,Yamethin,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Female,Mon,Paung,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Female,Rakhine,Toungup,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,,,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,,,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Ayeyarwady,Kyaiklat,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Ayeyarwady,Kyonpyaw,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Ayeyarwady,Wakema,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Bago (West),Gyobingauk,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Bago (West),Nattalin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/10/2022,Male,Bago (West),Paukkhaung,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Bago (West),Paungde,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Bago (West),Shwedaung,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Kachin,,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Magway,Pakokku,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
12/15/2021,Male,Ayeyarwady,Zalun,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
2/10/2022,Male,Mandalay,Wundwin,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Sagaing,Katha,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Sagaing,Tamu,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Shan (South),,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/10/2022,Male,Yangon,Kungyangon,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/11/2022,Female,Ayeyarwady,Pathein,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Female,Mandalay,Pyawbwe,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Female,Sagaing,Sagaing,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,,,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Ayeyarwady,Bogale,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Ayeyarwady,Dedaye,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Ayeyarwady,Dedaye,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Ayeyarwady,Hinthada,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Ayeyarwady,Hinthada,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/11/2022,Male,Ayeyarwady,Hinthada,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Ayeyarwady,Ingapu,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Ayeyarwady,Kyaiklat,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Ayeyarwady,Kyangin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Ayeyarwady,Pantanaw,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Bago (East),,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Bago (East),Kyauktaga,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Bago (East),Waw,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/11/2022,Male,Bago (West),Okpho,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Magway,Pauk,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Magway,Taungdwingyi,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Mandalay,Kyaukse,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Mandalay,Taungtha,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Mon,Thaton,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Rakhine,Kyauktaw,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Sagaing,,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Sagaing,Sagaing,Potato,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/11/2022,Male,Yangon,,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Female,Bago (West),Letpadan,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Female,Bago (West),Thegon,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Female,Kachin,Chipwi,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Female,Rakhine,Thandwe,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Female,Yangon,Hlegu,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,,,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Ayeyarwady,Einme,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Ayeyarwady,Ingapu,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/14/2022,Male,Ayeyarwady,Kyaiklat,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,4,4
2/14/2022,Male,Ayeyarwady,Kyonpyaw,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Ayeyarwady,Kyonpyaw,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Ayeyarwady,Lemyethna,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Ayeyarwady,Maubin,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/14/2022,Male,Ayeyarwady,Mawlamyinegyun,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/14/2022,Male,Ayeyarwady,Myanaung,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Ayeyarwady,Myanaung,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Ayeyarwady,Myaungmya,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
1/6/2022,Male,Ayeyarwady,Maubin,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
2/14/2022,Male,Ayeyarwady,Pantanaw,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/14/2022,Male,Ayeyarwady,Pantanaw,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Ayeyarwady,Wakema,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (East),Bago,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (East),Thanatpin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (East),Waw,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (West),Gyobingauk,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (West),Letpadan,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (West),Paukkhaung,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (West),Pyay,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (West),Shwedaung,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (West),Thayarwady,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/14/2022,Male,Bago (West),Thegon,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (West),Zigon,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Bago (West),Zigon,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Chin,Mindat,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Magway,Aunglan,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Magway,Minhla,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Magway,Myothit,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Magway,Ngape,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Magway,Salin,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Magway,Salin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Magway,Salin,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Mandalay,Mahlaing,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Mandalay,Meiktila,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Mandalay,Wundwin,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Nay Pyi Taw,Poke Ba Thi Ri,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Sagaing,Kale,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/14/2022,Male,Sagaing,Khin-U,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Female,Ayeyarwady,Bogale,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Female,Ayeyarwady,Pantanaw,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Female,Ayeyarwady,Wakema,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Female,Magway,Minbu,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Female,Magway,Salin,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Female,Sagaing,Mingin,Groundnut,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Female,Shan (South),Taunggyi,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Female,Shan (South),Taunggyi,Garlic,Farming Practices,General Preventions,Inquiry Call,Extension Service,Solved,Contact Center Team,1,1
2/15/2022,Male,Ayeyarwady,Einme,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Ayeyarwady,Kyaiklat,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Ayeyarwady,Maubin,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Ayeyarwady,Myaungmya,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Ayeyarwady,Pathein,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Ayeyarwady,Pyapon,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Bago (East),Kyaukkyi,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Bago (East),Nyaunglebin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Bago (East),Nyaunglebin,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Bago (West),Thayarwady,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Kachin,Myitkyina,Sesame,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Magway,Minbu,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Magway,Pwintbyu,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
1/17/2022,Male,Yangon,Hmawbi,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Transferred,Contact Center Team,1,1
2/15/2022,Male,Mandalay,Madaya,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Sagaing,Kale,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Sagaing,Kanbalu,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Sagaing,Mawlaik,Garlic,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/15/2022,Male,Shan (South),Taunggyi,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Female,Sagaing,Kyunhla,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,,,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Ayeyarwady,Einme,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Ayeyarwady,Kyaunggon,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Ayeyarwady,Kyonpyaw,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/16/2022,Male,Ayeyarwady,Labutta,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Ayeyarwady,Mawlamyinegyun,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/16/2022,Male,Ayeyarwady,Myaungmya,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Ayeyarwady,Nyaungdon,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Ayeyarwady,Pantanaw,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Ayeyarwady,Pyapon,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,2,2
2/16/2022,Male,Ayeyarwady,Thabaung,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Ayeyarwady,Yegyi,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Bago (West),Gyobingauk,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Bago (West),Minhla,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Bago (West),Minhla,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Bago (West),Nattalin,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Magway,Aunglan,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Magway,Aunglan,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
1/26/2022,Male,Yangon,Twantay,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
2/16/2022,Male,Magway,Minbu,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Magway,Pwintbyu,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Magway,Salin,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Magway,Seikphyu,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Mandalay,Kyaukse,Chickpea,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Mandalay,Myingyan,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
2/16/2022,Male,Mandalay,Myittha,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
